,L,FL,F,FR,R,Turn,Vroom
207,15,100,18,14,14,-1,1
208,16,100,18,14,13,-1,1
209,16,100,18,13,11,-1,1
210,16,100,18,12,11,-1,1
211,16,100,18,15,12,-1,1
212,16,100,18,15,13,-1,1
213,16,100,18,14,12,-1,1
214,16,100,18,14,11,-1,1
215,15,100,18,14,12,-1,1
216,15,100,19,13,14,-1,1
217,15,20,20,13,13,0,1
218,13,20,19,13,13,0,1
219,13,100,19,13,13,0,1
220,13,100,18,12,12,0,1
221,14,100,18,12,12,0,1
222,14,100,17,11,12,0,1
223,14,100,17,11,11,0,1
224,15,100,16,11,11,0,1
225,15,100,16,10,10,0,1
226,15,100,15,10,10,0,1
227,16,100,14,9,9,0,1
228,16,100,13,9,9,0,1
229,16,100,13,8,8,0,1
230,16,100,12,8,8,0,1
231,17,100,11,7,7,-1,1
232,17,100,11,6,6,-1,1
233,17,100,12,6,6,-1,1
234,17,100,14,6,5,-1,1
235,17,100,19,6,5,-1,1
236,17,20,100,6,5,-1,1
237,17,19,100,6,5,-1,1
238,17,19,100,7,5,-1,1
239,17,18,100,7,6,-1,1
240,17,17,100,8,6,-1,1
241,17,17,100,10,7,-1,1
242,17,16,100,12,7,-1,1
243,17,16,100,14,8,-1,1
244,17,15,100,17,9,0,1
245,16,15,20,19,10,0,1
246,16,15,20,20,10,0,1
247,15,14,20,100,11,0,1
248,15,14,19,100,11,0,1
249,15,14,18,100,12,1,1
250,14,13,19,100,12,1,1
251,13,13,100,20,12,1,1
252,13,13,100,19,12,1,1
253,12,13,100,18,13,1,1
254,12,13,100,17,13,1,1
255,12,13,100,16,13,1,1
256,12,14,100,16,13,1,1
257,12,14,100,15,13,0,1
258,12,100,100,15,13,0,1
259,12,100,20,15,13,0,1
260,12,100,20,15,13,-1,1
261,12,100,19,16,13,-1,1
262,12,100,19,17,13,-1,1
263,12,100,18,18,13,-1,1
264,11,100,18,19,13,-1,1
265,11,100,18,18,14,-1,1
266,11,100,17,17,14,-1,1
267,11,100,17,16,15,-1,1
268,11,100,17,16,16,-1,1
269,12,100,17,15,16,-1,1
270,12,100,16,14,17,-1,1
271,13,100,16,13,15,-1,1
272,13,100,16,13,14,-1,1
273,13,100,16,12,14,-1,1
274,14,100,17,12,13,-1,1
275,14,100,17,12,12,-1,1
276,14,100,100,12,12,-1,1
277,14,20,100,12,11,-1,1
278,14,19,100,11,11,-1,1
279,14,18,100,11,10,-1,1
280,14,18,100,12,10,-1,1
281,14,17,100,12,10,-1,0
282,14,16,100,12,10,1,0
283,14,17,100,12,10,1,0
284,14,18,100,12,10,1,0
285,14,19,100,11,10,1,0
286,14,20,100,11,10,1,0
287,15,100,100,10,10,1,0
288,15,20,100,10,10,1,0
289,16,20,100,9,10,1,0
290,16,19,100,9,10,1,0
291,17,19,100,9,10,1,0
292,18,19,100,8,10,1,0
293,19,19,100,8,9,1,0
294,20,18,100,7,9,0,0
295,20,18,100,7,8,0,0
296,20,18,100,6,8,0,0
297,20,18,100,6,7,0,0
298,20,18,100,5,6,0,0
299,20,17,100,4,5,0,0
300,20,17,100,7,3,0,0
301,19,17,100,11,4,0,0
302,19,17,100,14,5,0,0
303,19,17,100,16,5,0,0
304,19,16,100,100,6,0,0
305,19,16,20,100,7,0,0
306,18,16,20,100,7,0,0
307,18,16,20,100,8,0,0
308,18,15,19,100,9,0,0
309,17,15,19,100,9,0,0
310,17,15,19,100,10,0,0
311,17,15,18,100,11,0,0
312,16,14,18,100,11,0,0
313,16,14,17,100,12,0,0
314,15,13,17,100,13,1,0
315,15,13,17,100,12,1,0
316,14,13,18,100,12,1,0
317,14,13,19,100,12,1,0
318,13,13,20,100,12,1,0
319,13,13,100,100,12,1,0
320,12,13,20,100,12,1,0
321,12,14,20,100,12,1,0
322,12,14,19,100,12,1,0
323,12,15,19,100,12,1,0
324,12,16,19,100,12,1,0
325,12,17,19,100,12,1,0
326,13,18,19,100,12,1,0
327,13,19,19,100,12,1,0
328,14,18,19,100,12,1,0
329,15,17,19,100,12,1,0
330,15,17,19,100,13,1,0
331,16,17,20,100,12,1,0
332,17,16,20,100,13,1,0
333,18,16,100,17,13,1,0
334,18,16,100,15,13,1,0
335,17,16,100,14,13,1,0
336,17,16,100,13,13,1,0
337,16,16,100,12,13,1,0
338,16,17,100,11,13,1,0
339,15,17,100,11,14,1,0
340,15,17,100,10,15,1,0
341,15,18,100,10,100,1,0
342,15,19,100,10,100,1,0
343,15,100,100,9,100,1,0
344,15,100,19,9,8,1,0
345,16,100,16,9,8,1,0
346,16,100,14,8,8,1,0
347,16,100,12,8,8,1,0
348,17,100,11,7,8,0,0
349,17,100,10,7,7,0,0
350,17,100,9,6,7,0,0
351,17,100,9,6,6,-1,1
352,17,100,8,5,5,-1,1
353,17,100,8,4,4,-1,1
354,17,100,8,4,3,-1,1
355,17,100,8,3,3,-1,1
356,17,100,13,3,3,-1,1
357,17,100,19,3,3,-1,1
358,17,100,18,4,3,-1,1
359,17,100,18,5,4,-1,1
360,17,100,18,7,5,-1,1
361,17,100,17,8,5,-1,1
362,17,100,17,10,6,-1,1
363,17,100,17,13,7,-1,1
364,17,100,16,15,8,-1,1
365,17,100,16,14,9,-1,1
366,17,100,16,14,10,-1,1
367,17,100,16,13,12,-1,1
368,17,100,100,13,13,-1,1
369,17,100,100,12,14,0,1
370,17,100,100,12,13,0,1
371,16,100,100,11,13,-1,1
372,16,100,100,11,12,-1,1
373,15,100,100,11,11,0,1
374,15,20,100,10,11,0,1
375,15,20,100,10,10,0,1
376,16,19,20,9,10,0,1
377,16,19,20,9,9,0,1
378,16,18,19,8,8,0,1
379,17,18,19,100,8,0,0
380,17,18,18,100,7,0,0
381,17,17,18,100,7,0,0
382,17,17,17,100,8,0,0
383,18,16,17,100,9,0,0
384,18,16,17,100,10,0,0
385,18,16,17,100,11,0,0
386,18,16,16,100,12,0,0
387,18,15,16,100,13,1,0
388,19,15,16,100,13,1,0
389,18,14,16,100,12,1,0
390,17,14,16,100,12,1,0
391,16,14,17,100,12,1,0
392,14,13,19,20,12,1,0
393,13,13,100,19,12,1,0
394,13,13,100,18,12,1,0
395,13,13,100,17,12,1,0
396,12,14,100,16,12,1,0
397,12,14,100,15,12,1,1
398,12,14,100,15,12,0,1
399,12,14,100,100,13,0,1
400,12,14,20,100,13,0,1
401,12,14,19,100,13,0,1
402,12,14,18,100,13,1,1
403,12,15,17,100,13,1,1
404,12,16,17,100,13,1,1
405,12,17,16,100,13,1,1
406,13,16,16,100,14,1,0
407,13,15,16,100,13,1,0
408,14,15,16,100,13,1,0
409,14,14,16,100,13,1,0
410,15,14,16,100,13,1,0
411,16,14,16,100,13,1,0
412,15,13,16,100,13,1,0
413,14,13,17,100,13,1,0
414,13,13,18,100,13,1,0
415,13,13,19,20,13,1,0
416,13,13,100,19,13,1,0
417,12,13,100,18,14,1,0
418,12,13,100,17,15,1,0
419,12,13,100,16,16,1,0
420,12,14,100,16,19,1,0
421,12,14,100,15,100,0,0
422,12,14,100,15,13,-1,1
423,12,18,100,16,13,-1,1
424,12,13,100,16,13,-1,1
425,12,17,100,17,13,-1,1
426,12,16,100,18,13,-1,1
427,11,16,100,17,14,-1,1
428,11,15,100,16,14,-1,1
429,11,15,100,18,15,-1,1
430,11,14,100,18,15,0,1
431,10,14,100,17,16,0,1
432,9,13,100,17,16,0,1
433,10,13,100,16,17,0,1
434,11,16,100,16,16,0,1
435,13,16,100,16,15,0,1
436,13,16,100,17,14,0,1
437,12,15,100,17,14,0,1
438,12,15,100,17,15,0,1
439,11,14,100,16,15,0,1
440,11,17,100,15,16,0,1
441,13,17,100,15,15,0,1
442,14,17,100,14,14,0,1
443,14,16,100,14,13,0,1
444,13,16,100,15,13,0,1
445,13,19,100,16,14,0,1
446,12,18,100,15,14,0,1
447,13,18,100,15,15,0,1
448,14,18,100,14,13,0,1
449,15,17,100,14,12,0,1
450,15,20,100,13,12,0,1
451,14,20,100,12,12,0,1
452,14,19,100,13,13,0,1
453,13,19,100,14,13,0,1
454,14,19,100,14,13,0,1
455,15,18,100,14,12,0,1
456,16,100,100,13,11,0,1
457,16,100,100,12,10,-1,1
458,16,20,100,11,11,-1,1
459,16,20,100,12,12,-1,1
460,16,19,100,14,12,-1,1
461,15,19,100,14,11,-1,1
462,15,16,100,13,10,-1,1
463,15,15,20,100,11,0,1
464,14,17,19,100,13,0,1
465,15,17,18,100,12,0,1
466,15,16,18,100,12,0,1
467,15,16,17,100,11,1,1
468,15,15,17,100,11,1,1
469,13,15,17,100,11,1,1
470,14,14,17,100,12,1,1
471,15,14,17,100,12,1,1
472,15,13,17,100,12,1,1
473,14,13,17,100,13,1,1
474,13,13,18,100,13,1,1
475,13,12,19,100,13,1,1
476,12,12,20,20,13,1,1
477,12,12,100,19,13,1,1
478,11,12,100,18,13,1,1
479,11,12,100,17,13,1,1
480,11,13,100,17,13,1,1
481,11,13,100,16,13,1,1
482,11,14,100,15,13,1,1
483,11,15,100,14,13,1,1
484,12,16,100,14,13,1,1
485,12,18,100,13,13,0,1
486,13,19,100,13,13,0,1
487,13,19,100,13,12,0,1
488,13,20,100,12,12,0,1
489,14,100,100,12,11,0,0
490,14,100,100,11,11,0,0
491,15,100,100,11,10,-1,0
492,15,20,100,11,10,-1,0
493,14,19,100,11,10,-1,0
494,14,18,100,11,10,-1,0
495,14,16,100,100,10,-1,0
496,14,16,100,100,10,0,0
497,14,16,20,100,10,0,0
498,14,15,20,100,10,1,0
499,14,16,20,100,10,1,0
500,14,17,19,100,10,1,0
501,14,18,19,100,10,1,0
502,14,19,19,100,10,1,0
503,15,19,19,100,10,1,0
504,15,19,18,100,10,1,0
505,15,18,18,100,10,1,0
506,16,18,19,100,10,1,0
507,16,17,19,100,10,1,0
508,17,17,19,100,10,1,0
509,18,16,19,100,9,1,0
510,19,16,20,100,9,1,0
